,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
0,40218234.0,0.0,0.0,0.0
1,40218234.0,0.0,0.0,0.0
2,40218234.0,0.0,0.0,0.0
3,40218234.0,0.0,0.0,0.0
4,40218234.0,0.0,0.0,0.0
5,40218234.0,0.0,0.0,0.0
6,40218234.0,0.0,0.0,0.0
7,40218234.0,0.0,0.0,0.0
8,40218234.0,0.0,0.0,0.0
9,40218234.0,0.0,0.0,0.0
10,40218234.0,0.0,0.0,0.0
11,40218234.0,0.0,0.0,0.0
12,40218234.0,0.0,0.0,0.0
13,40218234.0,0.0,0.0,0.0
14,40218234.0,0.0,0.0,0.0
15,40218234.0,0.0,0.0,0.0
16,40218234.0,0.0,0.0,0.0
17,40218234.0,0.0,0.0,0.0
18,40218234.0,0.0,0.0,0.0
19,40218234.0,0.0,0.0,0.0
20,40218234.0,0.0,0.0,0.0
21,40218234.0,0.0,0.0,0.0
22,40218234.0,0.0,0.0,0.0
23,40218234.0,0.0,0.0,0.0
24,40218234.0,0.0,0.0,0.0
25,40218234.0,0.0,0.0,0.0
26,40218234.0,0.0,0.0,0.0
27,40218234.0,0.0,0.0,0.0
28,40218234.0,0.0,0.0,0.0
29,40218234.0,0.0,0.0,0.0
30,40218234.0,0.0,0.0,0.0
31,40218234.0,0.0,0.0,0.0
32,40218234.0,0.0,0.0,0.0
33,40218229.0,5.0,0.0,0.0
34,40218229.0,5.0,0.0,0.0
35,40218229.0,5.0,0.0,0.0
36,40218229.0,5.0,0.0,0.0
37,40218229.0,5.0,0.0,0.0
38,40218229.0,5.0,0.0,0.0
39,40218229.0,5.0,0.0,0.0
40,40218229.0,5.0,0.0,0.0
41,40218229.0,5.0,0.0,0.0
42,40218229.0,5.0,0.0,0.0
43,40218229.0,5.0,0.0,0.0
44,40218229.0,5.0,0.0,0.0
45,40218226.0,8.0,0.0,0.0
46,40218226.0,8.0,0.0,0.0
47,40218226.0,8.0,0.0,0.0
48,40218226.0,8.0,0.0,0.0
49,40218223.0,11.0,0.0,0.0
50,40218223.0,11.0,0.0,0.0
51,40218223.0,11.0,0.0,0.0
52,40218220.0,14.0,0.0,0.0
53,40218214.0,20.0,0.0,0.0
54,40218209.0,24.0,0.0,1.0
55,40218208.0,25.0,0.0,1.0
56,40218208.0,25.0,0.0,1.0
57,40218208.0,25.0,0.0,1.0
58,40218210.0,23.0,0.0,1.0
59,40218210.0,23.0,0.0,1.0
60,40218200.0,33.0,0.0,1.0
61,40218194.0,38.0,1.0,1.0
62,40218192.0,40.0,1.0,1.0
63,40218160.0,71.0,1.0,2.0
64,40218154.0,76.0,2.0,2.0
65,40218143.0,87.0,2.0,2.0
66,40218128.0,102.0,2.0,2.0
67,40218120.0,108.0,4.0,2.0
68,40218120.0,108.0,4.0,2.0
69,40218068.0,157.0,4.0,5.0
70,40218042.0,183.0,4.0,5.0
71,40217999.0,221.0,4.0,10.0
72,40217965.0,254.0,5.0,10.0
73,40217964.0,255.0,5.0,10.0
74,40217935.0,277.0,7.0,15.0
75,40217897.0,312.0,7.0,18.0
76,40217867.0,338.0,11.0,18.0
77,40217811.0,380.0,14.0,29.0
78,40217790.0,397.0,15.0,32.0
79,40217713.0,474.0,15.0,32.0
80,40217713.0,474.0,15.0,32.0
81,40217679.0,505.0,18.0,32.0
82,40217627.0,556.0,19.0,32.0
83,40217569.0,603.0,22.0,40.0
84,40217464.0,702.0,25.0,43.0
85,40217440.0,711.0,29.0,54.0
