,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,1401988129.0,12030.0,259.0,287.0
11,1401983393.0,16779.0,362.0,476.0
12,1401980307.0,19873.0,426.0,627.0
13,1401976320.0,23882.0,492.0,857.0
14,1401972591.0,27624.0,564.0,1129.0
15,1401969447.0,30806.0,634.0,1492.0
16,1401965925.0,34380.0,719.0,2015.0
17,1401963222.0,37105.0,806.0,2615.0
18,1401960210.0,40135.0,906.0,3244.0
19,1401957694.0,42745.0,1013.0,3946.0
20,1401955673.0,44786.0,1113.0,4681.0
21,1401955301.0,45205.0,1118.0,5148.0
22,1401940168.0,60352.0,1371.0,6291.0
23,1401933708.0,66869.0,1523.0,8054.0
24,1401931653.0,69012.0,1666.0,9389.0
25,1401929554.0,71205.0,1770.0,10859.0
26,1401927636.0,73239.0,1868.0,12576.0
27,1401925861.0,75117.0,2007.0,14339.0
28,1401925454.0,75620.0,2122.0,16106.0
29,1401925001.0,76178.0,2247.0,18164.0
30,1401924528.0,76822.0,2251.0,18877.0
31,1401923078.0,78578.0,2458.0,22874.0
32,1401923062.0,78965.0,2469.0,23379.0
33,1401922848.0,79554.0,2629.0,25209.0
34,1401922340.0,80400.0,2708.0,27887.0
35,1401921935.0,81382.0,2770.0,30368.0
36,1401921502.0,82739.0,2814.0,33260.0
37,1401921176.0,84109.0,2872.0,36692.0
38,1401920749.0,85997.0,2942.0,39763.0
39,1401920174.0,88348.0,2997.0,42699.0
40,1401919974.0,90288.0,3086.0,45583.0
41,1401919849.0,92833.0,3160.0,48206.0
42,1401919729.0,95088.0,3254.0,51148.0
43,1401919578.0,97899.0,3348.0,53774.0
44,1401919427.0,101699.0,3461.0,55842.0
45,1401919348.0,105767.0,3565.0,58334.0
46,1401919301.0,109737.0,3806.0,60671.0
47,1401919265.0,113743.0,4006.0,62488.0
48,1401919243.0,118565.0,4268.0,64376.0
49,1402000000.0,125868.0,4622.0,66973.0
50,1402000000.0,128470.0,4731.0,68295.0
51,1402000000.0,145240.0,5412.0,70222.0
52,1402000000.0,156127.0,5829.0,72587.0
53,1402000000.0,167316.0,6460.0,75991.0
54,1402000000.0,181353.0,7156.0,78046.0
55,1402000000.0,197008.0,7938.0,80783.0
56,1402000000.0,214726.0,8783.0,83248.0
57,1402000000.0,242441.0,9923.0,84886.0
58,1402000000.0,272141.0,11367.0,87315.0
59,1402000000.0,304540.0,13043.0,91541.0
60,1402000000.0,339280.0,14713.0,97225.0
61,1402000000.0,379835.0,16623.0,100942.0
62,1402000000.0,419257.0,18762.0,107681.0
63,1402000000.0,469074.0,21359.0,113742.0
64,1402000000.0,531258.0,24170.0,122124.0
65,1402000000.0,595104.0,27407.0,130898.0
