,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
0,7948878443.0,510.0,17.0,30.0
1,7948877903.0,1003.0,34.0,60.0
2,7948878059.0,876.0,26.0,39.0
3,7948877566.0,1350.0,42.0,42.0
4,7948876884.0,2004.0,56.0,56.0
5,7948876075.0,2778.0,82.0,65.0
6,7948873424.0,5337.0,131.0,108.0
7,7948872840.0,5900.0,133.0,127.0
8,7948870772.0,7912.0,171.0,145.0
9,7948869082.0,9480.0,213.0,225.0
10,7948866970.0,11484.0,259.0,287.0
11,7948862221.0,15941.0,362.0,476.0
12,7948859127.0,18820.0,426.0,627.0
13,7948855118.0,22533.0,492.0,857.0
14,7948851376.0,25931.0,564.0,1129.0
15,7948848194.0,28680.0,634.0,1492.0
16,7948844620.0,31646.0,719.0,2015.0
17,7948841895.0,33684.0,806.0,2615.0
18,7948838865.0,35985.0,906.0,3244.0
19,7948836255.0,37786.0,1013.0,3946.0
20,7948834214.0,38992.0,1113.0,4681.0
21,7948833795.0,38939.0,1118.0,5148.0
22,7948818648.0,52690.0,1371.0,6291.0
23,7948812131.0,57292.0,1523.0,8054.0
24,7948809988.0,57957.0,1666.0,9389.0
25,7948807795.0,58576.0,1770.0,10859.0
26,7948805761.0,58795.0,1868.0,12576.0
27,7948803883.0,58771.0,2007.0,14339.0
28,7948803380.0,57392.0,2122.0,16106.0
29,7948802822.0,55767.0,2247.0,18164.0
30,7948802178.0,55694.0,2251.0,18877.0
31,7948800422.0,53246.0,2458.0,22874.0
32,7948800035.0,53117.0,2469.0,23379.0
33,7948799446.0,51716.0,2629.0,25209.0
34,7948798600.0,49805.0,2708.0,27887.0
35,7948797618.0,48244.0,2770.0,30368.0
36,7948796261.0,46665.0,2814.0,33260.0
37,7948794891.0,44545.0,2872.0,36692.0
38,7948793003.0,43292.0,2942.0,39763.0
39,7948790652.0,42652.0,2997.0,42699.0
40,7948788712.0,41619.0,3086.0,45583.0
41,7948786167.0,41467.0,3160.0,48206.0
42,7948783912.0,40686.0,3254.0,51148.0
43,7948781101.0,40777.0,3348.0,53774.0
44,7948777301.0,42396.0,3461.0,55842.0
45,7948773233.0,43868.0,3565.0,58334.0
46,7948769263.0,45260.0,3806.0,60671.0
47,7948765257.0,47249.0,4006.0,62488.0
48,7948760435.0,49921.0,4268.0,64376.0
49,7948753132.0,54273.0,4622.0,66973.0
50,7948750530.0,55444.0,4731.0,68295.0
51,7948733760.0,69606.0,5412.0,70222.0
52,7948722873.0,77711.0,5829.0,72587.0
53,7948711684.0,84865.0,6460.0,75991.0
54,7948697647.0,96151.0,7156.0,78046.0
55,7948681992.0,108287.0,7938.0,80783.0
56,7948664274.0,122695.0,8783.0,83248.0
57,7948636559.0,147632.0,9923.0,84886.0
58,7948606859.0,173459.0,11367.0,87315.0
59,7948574460.0,199956.0,13043.0,91541.0
60,7948539720.0,227342.0,14713.0,97225.0
61,7948499165.0,262270.0,16623.0,100942.0
62,7948459743.0,292814.0,18762.0,107681.0
63,7948409926.0,333973.0,21359.0,113742.0
64,7948347742.0,384964.0,24170.0,122124.0
65,7948283896.0,436799.0,27407.0,130898.0
66,7948214168.0,494433.0,30993.0,139406.0
67,7948157244.0,538420.0,34274.0,149062.0
68,7948094852.0,581743.0,37969.0,164436.0
69,7948018018.0,640468.0,42508.0,178006.0
70,7947943784.0,694149.0,47739.0,193328.0
71,7947863142.0,751742.0,53602.0,210514.0
72,7947779635.0,813803.0,59541.0,226021.0
73,7947699326.0,867807.0,65495.0,246372.0
74,7947627869.0,920507.0,70396.0,260228.0
75,7947555006.0,971362.0,75772.0,276860.0
76,7947481919.0,1013584.0,83227.0,300270.0
77,7947396584.0,1063541.0,89832.0,329043.0
78,7947313605.0,1114096.0,97036.0,354263.0
79,7947220472.0,1177997.0,104211.0,376320.0
80,7947142551.0,1223770.0,110352.0,402327.0
81,7947043967.0,1296932.0,116193.0,421908.0
82,7946973265.0,1334963.0,121841.0,448931.0
83,7946902047.0,1373919.0,128512.0,474522.0
84,7946820913.0,1410054.0,136884.0,511149.0
85,7946725783.0,1464349.0,146568.0,542300.0
86,7946637683.0,1515905.0,156815.0,568597.0
87,7946556985.0,1566789.0,162706.0,592520.0
88,7946477464.0,1608892.0,168412.0,624232.0
89,7946406368.0,1652780.0,173597.0,646255.0
90,7946329311.0,1689132.0,180262.0,680295.0
91,7946250049.0,1732168.0,186953.0,709830.0
92,7946170797.0,1774734.0,194897.0,738572.0
93,7946068155.0,1815993.0,201368.0,793484.0
94,7945981294.0,1873633.0,207348.0,816725.0
95,7945907832.0,1893758.0,211430.0,865980.0
96,7945836484.0,1931893.0,216294.0,894329.0
97,7945761471.0,1966014.0,222554.0,928961.0
98,7945682345.0,1990546.0,233192.0,972917.0
99,7945618668.0,2006194.0,239037.0,1015101.0
100,7945530976.0,2049842.0,244603.0,1053579.0
101,7945448760.0,2086803.0,250301.0,1093136.0
102,7945371769.0,2127371.0,254383.0,1125477.0
103,7945296052.0,2161223.0,258761.0,1162964.0
104,7945216841.0,2198504.0,264650.0,1199005.0
105,7945122925.0,2238950.0,271426.0,1245699.0
106,7945032484.0,2283938.0,277494.0,1285084.0
107,7944940837.0,2332733.0,283174.0,1322256.0
108,7944855639.0,2359697.0,287943.0,1375721.0
109,7944778061.0,2399800.0,291847.0,1409292.0
110,7944703014.0,2423656.0,295918.0,1456412.0
111,7944617497.0,2466013.0,301852.0,1493638.0
112,7944532415.0,2490437.0,307361.0,1548787.0
113,7944438715.0,2539194.0,312963.0,1588128.0
114,7944338135.0,2584818.0,318650.0,1637397.0
115,7944246646.0,2615801.0,323207.0,1693346.0
116,7944166212.0,2651626.0,326949.0,1734213.0
117,7944077851.0,2683312.0,330717.0,1787120.0
118,7943982963.0,2720929.0,335921.0,1839187.0
119,7943880950.0,2759023.0,341327.0,1897700.0
120,7943775886.0,2807819.0,346367.0,1948928.0
121,7943666190.0,2803985.0,352097.0,2056728.0
122,7943567494.0,2842883.0,356490.0,2112133.0
123,7943471785.0,2878787.0,359830.0,2168598.0
124,7943382889.0,2903012.0,361320.0,2231779.0
125,7943288460.0,2937612.0,365993.0,2286935.0
126,7943186691.0,2970960.0,371348.0,2350001.0
127,7943068467.0,3018225.0,376429.0,2415879.0
128,7942952470.0,3051645.0,381512.0,2493373.0
129,7942819583.0,3108900.0,385989.0,2564528.0
130,7942715534.0,3133034.0,389204.0,2641228.0
131,7942612242.0,3177520.0,393302.0,2695936.0
132,7942489603.0,3261305.0,398649.0,2729443.0
133,7942374116.0,3295596.0,404403.0,2804885.0
134,7942238682.0,3360520.0,409915.0,2869883.0
135,7942098706.0,3351842.0,415394.0,3013058.0
136,7941977020.0,3396654.0,419567.0,3085759.0
137,7941864264.0,3451166.0,422716.0,3140854.0
138,7941755147.0,3403303.0,427160.0,3293390.0
139,7941630042.0,3440980.0,432335.0,3375643.0
140,7941509547.0,3477214.0,437429.0,3454810.0
141,7941358079.0,3537140.0,443085.0,3540696.0
142,7941240508.0,3577694.0,447525.0,3613273.0
143,7941107853.0,3620796.0,452093.0,3698258.0
144,7940974631.0,3678967.0,455702.0,3769700.0
145,7940836073.0,3725435.0,460098.0,3857394.0
146,7940693927.0,3762555.0,467271.0,3955247.0
147,7940517139.0,3814933.0,472851.0,4074077.0
148,7940375088.0,3870440.0,478230.0,4155242.0
149,7940194630.0,3953787.0,484688.0,4245895.0
150,7940042773.0,3968623.0,489202.0,4378402.0
151,7939914304.0,4023811.0,493703.0,4447182.0
152,7939767193.0,4087609.0,497762.0,4526436.0
153,7939598999.0,4146082.0,503445.0,4630474.0
154,7939431410.0,4192513.0,508885.0,4746192.0
155,7939251255.0,4272899.0,515823.0,4839023.0
156,7939058261.0,4354779.0,521035.0,4944925.0
157,7938882604.0,4419427.0,525816.0,5051153.0
158,7938709042.0,4500241.0,529446.0,5140271.0
159,7938557173.0,4553264.0,533373.0,5235190.0
160,7938373653.0,4613277.0,539403.0,5352667.0
161,7938159293.0,4597864.0,544776.0,5577067.0
162,7937985649.0,4589636.0,550269.0,5753446.0
163,7937779502.0,4680564.0,555659.0,5863275.0
164,7937590713.0,4668957.0,560410.0,6058920.0
165,7937404611.0,4731722.0,564265.0,6178402.0
166,7937233813.0,4774620.0,568458.0,6302109.0
167,7937025527.0,4831419.0,574907.0,6447147.0
168,7936810851.0,4882437.0,580549.0,6605163.0
169,7936587986.0,4964798.0,586390.0,6739826.0
170,7936356076.0,5051530.0,592117.0,6879277.0
171,7936141420.0,5135172.0,597370.0,7005038.0
172,7935948688.0,5211793.0,601666.0,7116853.0
173,7935752618.0,5263029.0,606109.0,7257244.0
174,7935533169.0,5334295.0,612135.0,7399401.0
175,7935303338.0,5398400.0,618058.0,7559204.0
176,7935061290.0,5481879.0,624239.0,7711592.0
177,7934815657.0,5537112.0,631163.0,7895068.0
178,7934579702.0,5615778.0,637685.0,8045835.0
179,7934367275.0,5735319.0,642554.0,8133852.0
180,7934165078.0,5777142.0,646028.0,8290752.0
181,7933915549.0,5843175.0,652759.0,8467517.0
182,7933640733.0,5931815.0,660180.0,8646272.0
183,7933360787.0,6027668.0,666878.0,8823667.0
184,7933076280.0,6077226.0,673527.0,9051967.0
185,7932827339.0,6100215.0,679667.0,9271779.0
186,7932621977.0,6163542.0,683771.0,9409710.0
187,7932379447.0,6223781.0,689309.0,9586463.0
188,7932163443.0,6298408.0,695514.0,9721635.0
189,7931844913.0,6371630.0,702950.0,9959507.0
190,7931562606.0,6433502.0,709866.0,10173026.0
191,7931274943.0,6514844.0,716581.0,10372632.0
192,7931028158.0,6574631.0,722668.0,10553543.0
193,7930797025.0,6662370.0,727338.0,10692267.0
194,7930589679.0,6642464.0,732145.0,10914712.0
195,7930323937.0,6679712.0,739412.0,11135939.0
196,7930049105.0,6725399.0,746862.0,11357634.0
197,7929762060.0,6816186.0,754313.0,11546441.0
198,7929479166.0,6900198.0,761149.0,11738487.0
199,7929213699.0,6959366.0,767204.0,11938731.0
200,7928979784.0,7009358.0,772376.0,12117482.0
201,7928744792.0,7074846.0,777669.0,12281693.0
202,7928480529.0,7027425.0,784285.0,12586761.0
203,7928195187.0,7063929.0,791611.0,12828273.0
204,7927915803.0,7173704.0,798171.0,12991322.0
205,7927609892.0,7189803.0,804741.0,13274564.0
206,7927358216.0,7266860.0,810756.0,13443168.0
207,7927147634.0,7239711.0,815533.0,13676122.0
208,7926933810.0,7243247.0,814809.0,13887134.0
209,7926674185.0,7268234.0,821852.0,14114729.0
210,7926397599.0,7320394.0,828281.0,14332726.0
211,7926126155.0,7377608.0,834721.0,14540516.0
212,7925863586.0,7465946.0,840458.0,14709010.0
213,7925611412.0,7513655.0,845864.0,14908069.0
214,7925397834.0,7495542.0,850573.0,15135051.0
215,7925168037.0,7521113.0,855378.0,15334472.0
216,7924922512.0,7528528.0,861939.0,15566021.0
217,7924642843.0,7576029.0,868472.0,15791656.0
218,7924358569.0,7645570.0,874691.0,16000170.0
219,7924073968.0,7724760.0,880524.0,16199748.0
220,7923812450.0,7769085.0,886337.0,16411128.0
221,7923593279.0,7773791.0,890587.0,16621343.0
222,7923326017.0,7835923.0,894944.0,16822116.0
223,7923058412.0,7841643.0,901555.0,17077390.0
224,7922777312.0,7898354.0,907857.0,17295477.0
225,7922499198.0,7949011.0,913945.0,17516846.0
226,7922205877.0,8032318.0,919528.0,17721277.0
227,7921932055.0,8100514.0,924647.0,17921784.0
228,7921694733.0,8112114.0,929027.0,18143126.0
229,7921481303.0,8129649.0,938424.0,18329624.0
